iter	Logloss
0	0.6546921228
1	0.6176058985
2	0.5851083151
3	0.5563758823
4	0.5314064058
5	0.5061225914
6	0.4856121048
7	0.4661028981
8	0.4485777805
9	0.4314932632
10	0.4174107489
11	0.404631999
12	0.3942002842
13	0.3846327204
14	0.3759095097
15	0.3679955063
16	0.3580271987
17	0.3504076651
18	0.3429945731
19	0.3356769783
20	0.329795918
21	0.3240674547
22	0.319273643
23	0.3151771894
24	0.3105100905
25	0.3062398864
26	0.3030252898
27	0.2984279614
28	0.2952137092
29	0.2923625656
30	0.2889948025
31	0.2860641586
32	0.2839555164
33	0.2814974944
34	0.2792303293
35	0.2768323756
36	0.2751689583
37	0.2736924289
38	0.2722333072
39	0.2704800678
40	0.2687986242
41	0.2677274246
42	0.2666974442
43	0.2646143696
44	0.2636330037
45	0.2626376873
46	0.2610239155
47	0.2599837699
48	0.2590548568
49	0.2571978613
50	0.2565752569
51	0.2556431599
52	0.2548541655
53	0.2538391075
54	0.252476782
55	0.2519453238
56	0.2510199028
57	0.2504806335
58	0.2495633958
59	0.2488667821
60	0.2479241821
61	0.2474727578
62	0.2469373005
63	0.2463504556
64	0.2458064469
65	0.2452800398
66	0.2448680343
67	0.2442189267
68	0.2431932377
69	0.2427569359
70	0.2418146662
71	0.2413967865
72	0.240983145
73	0.2401211716
74	0.2393913066
75	0.2389528024
76	0.2380128972
77	0.2375128095
78	0.2372002515
79	0.2365341554
80	0.2355495613
81	0.2349609475
82	0.2346984947
83	0.2340490148
84	0.2335448939
85	0.2332440899
86	0.2330003772
87	0.2325586344
88	0.2320723144
89	0.231848366
90	0.2316812032
91	0.2312137484
92	0.2308696597
93	0.2305905916
94	0.2302665671
95	0.2299477308
96	0.2295764034
97	0.2291524748
98	0.228827894
99	0.2286336426
100	0.2284798407
101	0.2282373614
102	0.2276254135
103	0.2273921096
104	0.2272886916
105	0.2270719156
106	0.2268557884
107	0.2266327469
108	0.2264777847
109	0.2263474856
110	0.2261773664
111	0.2260605746
112	0.2258484141
113	0.2257540882
114	0.2255546773
115	0.2252644299
116	0.2247243256
117	0.2243085221
118	0.2241625041
119	0.2238364099
120	0.2235978912
121	0.2234564534
122	0.2233120897
123	0.2228597175
124	0.2223023508
125	0.2216121877
126	0.2211358705
127	0.2209721621
128	0.2205431657
129	0.2204331103
130	0.2199242667
131	0.2197460687
132	0.2196585473
133	0.2193228096
134	0.2191412861
135	0.2190325924
136	0.2189143312
137	0.2188168317
138	0.2186871327
139	0.2185932137
140	0.2185230826
141	0.2184145745
142	0.2182906514
143	0.2180074358
144	0.2178254962
145	0.2176541568
146	0.2175252456
147	0.2173153258
148	0.2172301037
149	0.2170457124
150	0.2169361534
151	0.2165723028
152	0.2163905242
153	0.2163127745
154	0.2161841058
155	0.2161193441
156	0.2159364715
157	0.2158433052
158	0.2154293985
159	0.2152845698
160	0.2151753975
161	0.2150966289
162	0.2150663186
163	0.2148554689
164	0.2147257102
165	0.2145212788
166	0.2143489019
167	0.2142093289
168	0.2141402054
169	0.2138859337
170	0.2137410902
171	0.213614276
172	0.2135315089
173	0.2134051329
174	0.2132815958
175	0.2131064387
176	0.2129255971
177	0.2128011965
178	0.2126604834
179	0.21256976
180	0.2124858455
181	0.2123857108
182	0.2122622461
183	0.2121629526
184	0.2119104636
185	0.2117182567
186	0.2114121569
187	0.2112437831
188	0.211097574
189	0.2109125035
190	0.2108452466
191	0.2107516178
192	0.2106916567
193	0.2106570326
194	0.2105536034
195	0.2105009758
196	0.2101262177
197	0.2100295337
198	0.209879367
199	0.20980418
200	0.2096985388
201	0.2095919231
202	0.2093295389
203	0.2090212229
204	0.208938856
205	0.2088363185
206	0.2087555256
207	0.2085255504
208	0.2084280557
209	0.2083216542
210	0.2082196658
211	0.208005841
212	0.2079065264
213	0.2078470153
214	0.2076912315
215	0.2075862108
216	0.2074913126
217	0.2073570211
218	0.2072646113
219	0.2071590705
220	0.2070334818
221	0.206888927
222	0.2067002628
223	0.2066197711
224	0.2065136434
225	0.2063623829
226	0.2062263276
227	0.2059902374
228	0.2059445118
229	0.2057443813
230	0.2056458073
231	0.2055147687
232	0.2053975158
233	0.2052420171
234	0.2051765501
235	0.2051071752
236	0.2050317907
237	0.204880743
238	0.2048051372
239	0.2047608823
240	0.2046978885
241	0.204587294
242	0.204520589
243	0.2044247313
244	0.2042550608
245	0.2041679298
246	0.2041137995
247	0.2038257038
248	0.20363939
249	0.2036076835
250	0.2035250902
251	0.203386502
252	0.2032690659
253	0.203218714
254	0.2031101717
255	0.203020249
256	0.2028884363
257	0.2028509733
258	0.2027963916
259	0.2027379604
260	0.2026517048
261	0.2025304316
262	0.2024429323
263	0.2021913632
264	0.2021133896
265	0.2020056934
266	0.2018255062
267	0.2017757473
268	0.2016388801
269	0.2015513896
270	0.2015049907
271	0.2014573227
272	0.2013523714
273	0.2011761544
274	0.2011201016
275	0.2008782887
276	0.2007541481
277	0.2006720631
278	0.2005348686
279	0.2004425832
280	0.2003701873
281	0.2002542025
282	0.2001907084
283	0.2001325054
284	0.2000673331
285	0.1999735936
286	0.1998482582
287	0.1995306398
288	0.1994581046
289	0.1993914749
290	0.1992896614
291	0.1991909607
292	0.1990393931
293	0.1989174184
294	0.1987804137
295	0.1986937332
296	0.1986108643
297	0.1985751955
298	0.1984720586
299	0.1983522418
300	0.1981878459
301	0.1980761789
302	0.1979961828
303	0.1978929808
304	0.1977856567
305	0.1976839958
306	0.1976016613
307	0.1974016933
308	0.1971916592
309	0.1971028966
310	0.1969700326
311	0.1968058591
312	0.1966945823
313	0.1965444378
314	0.1964671141
315	0.1963950306
316	0.1962415171
317	0.1961473058
318	0.1960631238
319	0.1959940508
320	0.1959293599
321	0.1958019517
322	0.1955924006
323	0.1955446983
324	0.1954111646
325	0.1952305088
326	0.1951057764
327	0.1950332697
328	0.1949869255
329	0.1948887439
330	0.1948026994
331	0.194753531
332	0.1946729357
333	0.1946111012
334	0.1945247697
335	0.1944153077
336	0.1943425696
337	0.1941834947
338	0.194052476
339	0.1939884287
340	0.1938401503
341	0.1937708917
342	0.1936556968
343	0.1934772307
344	0.193406925
345	0.1932881008
346	0.193074395
347	0.1928217705
348	0.1927467531
349	0.1925826876
350	0.1924214338
351	0.192267513
352	0.1922140594
353	0.192114425
354	0.1919737109
355	0.1918967577
356	0.1918456839
357	0.1917785586
358	0.1916450852
359	0.1914832833
360	0.1913913802
361	0.1912721707
362	0.1912039682
363	0.1910631675
364	0.1909855132
365	0.1907888234
366	0.1907393037
367	0.1906612697
368	0.1905782624
369	0.1904343407
370	0.1903500201
371	0.1902289094
372	0.1901561045
373	0.1900883276
374	0.1900045094
375	0.18992259
376	0.189793037
377	0.1896607718
378	0.1895982896
379	0.1895443059
380	0.1894342086
381	0.1892704833
382	0.1891812965
383	0.1891117287
384	0.1890356398
385	0.1888566566
386	0.1887344204
387	0.1885963157
388	0.1884669723
389	0.1883564868
390	0.1882873909
391	0.1882179225
392	0.1880549165
393	0.1879725226
394	0.1878872589
395	0.1877870227
396	0.1876496227
397	0.1876034623
398	0.1875076613
399	0.1874072947
400	0.1873469283
401	0.187257629
402	0.1871466492
403	0.1869595244
404	0.1869226651
405	0.1867762265
406	0.1866651242
407	0.1865681161
408	0.1864283752
409	0.1863608189
410	0.1860940365
411	0.1859509191
412	0.185793683
413	0.1856528807
414	0.185592632
415	0.1854269838
416	0.1853645585
417	0.185282217
418	0.1852100467
419	0.1850491653
420	0.1849824754
421	0.1849157993
422	0.1848367227
423	0.1847474174
424	0.1846770413
425	0.1845332676
426	0.1844925524
427	0.1843537808
428	0.1843158137
429	0.1842189264
430	0.1841572268
431	0.1841284751
432	0.1840399415
433	0.1839737137
434	0.1838763023
435	0.1838245719
436	0.1836894512
437	0.1836441112
438	0.1835138281
439	0.1834261397
440	0.1833449812
441	0.1831910158
442	0.183136403
443	0.183001657
444	0.1829290711
445	0.1827773915
446	0.1827228101
447	0.1826521524
448	0.1825731214
449	0.1825205005
450	0.1824691049
451	0.182353105
452	0.1822412017
453	0.1821832644
454	0.182051067
455	0.1819716854
456	0.1819009588
457	0.1818701647
458	0.1817440364
459	0.1816882257
460	0.1816158776
461	0.1815405294
462	0.181479478
463	0.1814023504
464	0.1812682829
465	0.1812158154
466	0.181156639
467	0.1810968036
468	0.1810262216
469	0.1808925667
470	0.1808233494
471	0.1806692962
472	0.1806177603
473	0.1805018057
474	0.1804527226
475	0.1803807767
476	0.1802609188
477	0.1801968649
478	0.1801564232
479	0.1801118578
480	0.1800314304
481	0.1799275458
482	0.1798724488
483	0.1798197632
484	0.1797711719
485	0.1796428137
486	0.1795671926
487	0.1795113586
488	0.1794021128
489	0.179281532
490	0.1791651266
491	0.1790392879
492	0.1789257533
493	0.1788795491
494	0.178818443
495	0.1787509844
496	0.1787016
497	0.1786366641
498	0.1785932963
499	0.1785499053
500	0.1784493393
501	0.1783156954
502	0.1782267594
503	0.1781595945
504	0.1781206041
505	0.1780560617
506	0.1779991037
507	0.177874799
508	0.1778321369
509	0.1776761316
510	0.1776174552
511	0.1775182921
512	0.177436303
513	0.1773477015
514	0.1772454639
515	0.1771668202
516	0.1770963134
517	0.1770357806
518	0.1769273046
519	0.1768041701
520	0.1766573161
521	0.1765975865
522	0.1764950855
523	0.1763885358
524	0.1763127797
525	0.176258294
526	0.176220373
527	0.1761542433
528	0.1761125245
529	0.1760767814
530	0.1759822374
531	0.1759301215
532	0.1758787351
533	0.1757903978
534	0.175727249
535	0.1756257277
536	0.1755915396
537	0.1755322308
538	0.1754855407
539	0.1754168798
540	0.1753942391
541	0.1753104692
542	0.1752456981
543	0.1751611948
544	0.1750985595
545	0.1750350591
546	0.1749555654
547	0.1748790573
548	0.1747638605
549	0.1746600855
550	0.1745268556
551	0.1744544072
552	0.1743650274
553	0.1742236209
554	0.1741628628
555	0.1741033479
556	0.1740279833
557	0.1739488867
558	0.173929661
559	0.1738175247
560	0.1736980035
561	0.1736279004
562	0.1735679516
563	0.1735126421
564	0.1734199746
565	0.1733442329
566	0.1732688176
567	0.1731649913
568	0.1731084021
569	0.1730050752
570	0.1729506726
571	0.1728794161
572	0.1727678864
573	0.1727258571
574	0.1726554903
575	0.1725942013
576	0.1724725079
577	0.172442237
578	0.17239578
579	0.1722897502
580	0.1722268305
581	0.1721391077
582	0.1721010589
583	0.1720440958
584	0.1719492931
585	0.1719056205
586	0.1718218772
587	0.1717571898
588	0.1716842687
589	0.1716393148
590	0.1715719098
591	0.1715380095
592	0.1714108339
593	0.1713280338
594	0.171258506
595	0.171205099
596	0.1711498314
597	0.1710219711
598	0.1709636392
599	0.1709009059
600	0.1708614931
601	0.1707992769
602	0.1707084391
603	0.170645954
604	0.1705456172
605	0.1704840264
606	0.170421153
607	0.1703356535
608	0.1702893185
609	0.1702282178
610	0.1701633432
611	0.1700994449
612	0.1699806728
613	0.1699220062
614	0.1698698543
615	0.1698415621
616	0.1697251237
617	0.1696024929
618	0.169573863
619	0.1694531417
620	0.1694166359
621	0.1693600294
622	0.1693100295
623	0.1692515906
624	0.1691895213
625	0.169146586
626	0.1691016504
627	0.1690140503
628	0.1689686601
629	0.1689273014
630	0.1688616111
631	0.1688066339
632	0.1687469374
633	0.1687131513
634	0.1686098534
635	0.1685592305
636	0.1685050239
637	0.1684571951
638	0.1684021911
639	0.1683863419
640	0.1683290003
641	0.1682401214
642	0.1681321036
643	0.1680125452
644	0.1679790005
645	0.1679377395
646	0.1678795609
647	0.1678515019
648	0.1677907399
649	0.167715966
650	0.1676838552
651	0.1676057353
652	0.1675402015
653	0.1675027559
654	0.1674521107
655	0.1674043528
656	0.1672960532
657	0.1672019731
658	0.1671695194
659	0.1671144922
660	0.1670473635
661	0.1669545933
662	0.1668054666
663	0.1667469672
664	0.1666456663
665	0.1665996454
666	0.1665370156
