material_code,company_code,country,region,manager_code,month,vol_tm6,vol_tm5,vol_tm4,vol_tm3,vol_tm2,vol_tm1,last_year_avg,last_year_min,last_year_max,target
109.30499468650372,109.30499468650372,109.30499468650372,109.30499468650372,109.30499468650372,1,220.0,220.0,220.0,280.0,280.0,280.0,260.0,220.0,340.0,200.0
109.30499468650372,109.30499468650372,109.30499468650372,109.30499468650372,109.30499468650372,1,0.0,0.0,0.0,0.0,0.0,0.0,21.666666666666668,0.0,200.0,0.0
54.65249734325186,54.65249734325186,54.65249734325186,109.30499468650372,54.65249734325186,1,0.0,0.0,100.0,220.0,20.0,0.0,40.0,0.0,220.0,0.0
36.43499822883457,36.43499822883457,36.43499822883457,109.30499468650372,36.43499822883457,1,180.0,99.0,60.0,400.0,120.0,20.0,91.58333333333333,0.0,400.0,40.0
37.32624867162593,37.32624867162593,109.30499468650372,109.30499468650372,109.30499468650372,1,40.0,20.0,40.0,30.0,0.0,40.0,19.166666666666668,0.0,40.0,40.0
37.86099893730075,37.86099893730075,109.30499468650372,109.30499468650372,37.32624867162593,1,0.0,0.0,100.0,80.0,0.0,10.0,32.5,0.0,100.0,0.0
31.550832447750622,31.550832447750622,109.30499468650372,109.30499468650372,109.30499468650372,1,180.0,180.0,0.0,150.0,275.0,150.0,390.6666666666667,0.0,1000.0,90.0
39.90071352664339,39.90071352664339,99.65249734325187,99.65249734325187,109.30499468650372,1,226.0,90.0,0.0,315.0,225.0,0.0,407.0833333333333,0.0,968.0,23.0
37.78812433581297,37.78812433581297,74.10166489550124,74.10166489550124,109.30499468650372,1,0.0,173.0,45.0,100.0,75.0,0.0,284.8333333333333,0.0,1500.0,0.0
33.58944385405597,33.58944385405597,55.57624867162593,55.57624867162593,109.30499468650372,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.230499468650372,30.230499468650372,154.65249734325187,109.30499468650372,109.30499468650372,1,20.0,20.0,0.0,40.0,40.0,0.0,29.083333333333332,0.0,59.0,3.0
27.754999516954886,27.754999516954886,104.10166489550124,109.30499468650372,109.30499468650372,1,14.0,16.0,5.0,10.0,0.0,9.0,8.75,0.0,16.0,8.0
26.108749557208643,26.108749557208643,80.07624867162593,109.30499468650372,109.30499468650372,1,20.0,0.0,0.0,14.0,10.0,60.0,12.0,0.0,60.0,0.0
24.100384206654134,24.100384206654134,64.06099893730075,109.30499468650372,56.15249734325186,1,11.0,10.0,10.0,10.0,13.0,0.0,5.666666666666667,0.0,13.0,11.0
23.16464247760741,23.16464247760741,55.217499114417286,109.30499468650372,54.65249734325186,1,80.0,80.0,100.0,100.0,100.0,60.0,78.33333333333333,40.0,100.0,80.0
26.953666312433583,26.953666312433583,58.75785638378625,94.65249734325187,109.30499468650372,1,20.0,20.0,20.0,20.0,20.0,18.0,21.5,18.0,40.0,21.0
26.581562167906483,26.581562167906483,54.03812433581297,109.30499468650372,58.65249734325186,1,45.0,18.0,61.0,30.0,40.0,38.0,46.166666666666664,18.0,80.0,10.0
25.60617615802963,25.60617615802963,49.14499940961153,59.65249734325186,109.30499468650372,1,10.0,20.0,5.0,10.0,10.0,20.0,7.083333333333333,0.0,20.0,10.0
24.73916637147243,24.73916637147243,45.23049946865037,43.101664895501244,41.10166489550124,1,5.0,10.0,5.0,5.0,5.0,5.0,5.416666666666667,5.0,10.0,5.0
23.700262878237037,23.700262878237037,41.5731813351367,109.30499468650372,32.07624867162593,1,12.0,17.0,25.0,15.0,10.0,17.0,15.666666666666666,10.0,25.0,5.0
22.765249734325188,22.765249734325188,38.52541622387531,154.65249734325187,109.30499468650372,1,0.0,0.0,0.0,14.0,0.0,20.0,2.8333333333333335,0.0,20.0,0.0
